Subscription/ Recurring Expense,Amount,Frequency,Subscribed,Card,Notes
Central Rock Gym, $150.00 ,Monthly,Yes,,
Mason's Haircut, $60.00 ,Quarterly,Yes,,
Tradingview, $25.00 ,Monthly,No,,
Seeking Alpha, $30.00 ,Monthly,Yes,,
Spotify, $20.00 ,Monthly,Yes,Apple,
Amazon Prime, $13.00 ,Monthly,Yes,,
Monarch, $10.00 ,Monthly,Yes,,*Cancelled
PlayStation Plus, $5.00 ,Monthly,Yes,,
Medium.com, $10.00 ,Monthly,Yes,,
Apple, $3.99 ,Monthly,Yes,,*Storage
LastPass, $3.00 ,Annual,Yes,,
Microsoft, $70.00 ,Annual,Yes,Apple,
Google, $1.99 ,Monthly,Yes,,
Hulu, $-   ,Monthly,Yes,,Included with Verizon Plan
Disney+, $-   ,Monthly,Yes,,Included with Verizon Plan
Chat GPT, $20.00 ,Monthly,Yes,Apple,
Adobe, $15.00 ,Monthly,Yes,,*Cancelled
HBO Max, $15.00 ,Monthly,Yes,,*Not subscribed
American Express, $250.00 ,Annual,Yes,,
Chase, $595.00 ,Annual,Yes,,
Audible.com, $15.00 ,Monthly,No,,
Kara's Haircut, $90.00 ,Quarterly,Yes,,
Notion, $10.00 ,Monthly,No,,
Speechify, $11.60 ,Monthly,No,,
Strong, $2.50 ,Monthly,No,Apple,
IOBit, $90.00 ,Annual,No,,*Not subscribed: Varies depending on deal. Make sure to uncheck auto-renew
Udemy, $30.00 ,Monthly,Yes,,*Cancelled
Apple Fitness+, $10.00 ,Monthly,Yes,,
Fabulous, $3.40 ,Annual,No,Apple,
GameStop, $15.00 ,Annual,No,,
QuantConnect, $50.00 ,Monthly,No,,
Netflix, $18.00 ,Monthly,Yes,,*Not subscribed
Robinhood, $5.00 ,Monthly,No,,*Not subscribed
LinkedIn, $30.00 ,Monthly,No,,
Brilliant, $150.00 ,Annual,No,Apple,
Waking Up, $100.00 ,Annual,No,,
Whale Wisdom, $90.00 ,Quarterly,Yes,,
Quizlet, $36.00 ,Annual,No,,
EODHD, $100.00 ,Monthly,Yes,,
Quant Questions, $30.00 ,Monthly,Yes,,
Leet Code, $35.00 ,Monthly,Yes,,
IntelliJ All Products Pack, $30.00 ,Monthly,Yes,,
